TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
28-10-2024,30.2,67,0,1,32.81
29-10-2024,30.8,69,0,1,32.97
30-10-2024,30.9,65,0,1,41.97
31-10-2024,30.4,70,0,1,35.64
01-11-2024,30.3,68,0,1,47.03
02-11-2024,28.9,79,0,2,37.15
03-11-2024,27.7,79,24.5,1,29.4
04-11-2024,27.6,82,18.4,1,24.35
05-11-2024,28.6,78,0,2,26.02
06-11-2024,29.3,73,14.5,1,20.32
07-11-2024,29.5,75,0,1,45.65
08-11-2024,30,70,0,1,43.53
09-11-2024,29.1,76,0,1,46.7
10-11-2024,28.7,77,0,1,31.21
11-11-2024,28.6,79,0,1,33.88
12-11-2024,28.3,80,5.6,1,20.3
13-11-2024,29.6,74,1.2,1,40.61
14-11-2024,30,76,0,1,59.53
15-11-2024,30,73,0,1,76.76
16-11-2024,28.6,84,1,1,95.59
17-11-2024,29.6,78,7.2,1,100.37
18-11-2024,28.6,83,17.8,2,31.6
19-11-2024,29.2,78,0,1,30.04
20-11-2024,29.5,75,8,1,24.46
21-11-2024,29.7,75,0,1,21.49
22-11-2024,29.4,74,0,2,13.41
23-11-2024,29,77,0,1,
24-11-2024,29.6,73,0,1,
25-11-2024,30.1,72,0,2,
26-11-2024,28.9,76,0,1,
27-11-2024,29,79,1.6,1,
28-11-2024,29.4,72,50,2,
29-11-2024,29.8,67,0.6,2,
30-11-2024,30.4,66,0,2,
01-12-2024,30.4,68,0.6,3,
02-12-2024,29.3,72,5,3,
03-12-2024,27.3,79,26,2,
04-12-2024,27.1,83,4,2,
05-12-2024,27.7,82,10.4,1,
06-12-2024,27.1,86,48.2,0,
07-12-2024,27.7,87,8888,0,
08-12-2024,28.2,82,30.4,1,
09-12-2024,27.5,85,0,0,
10-12-2024,27.7,82,26,3,
11-12-2024,29.7,71,0.7,1,
12-12-2024,29.7,69,1,2,
13-12-2024,30.1,68,0,1,
14-12-2024,28.4,75,0,2,
15-12-2024,28.3,78,0,1,
16-12-2024,28.4,79,18.5,1,
17-12-2024,28.3,82,6.5,1,
18-12-2024,29.1,72,8888,2,
19-12-2024,28.1,82,1.2,1,
20-12-2024,28.1,82,56,1,
21-12-2024,28.1,81,10.2,2,
22-12-2024,27.8,87,19,1,
23-12-2024,26.9,93,43.8,1,
24-12-2024,28,79,17,1,
25-12-2024,27.9,86,3.4,1,
26-12-2024,29.4,74,8.2,1,
27-12-2024,29.2,78,0,2,
28-12-2024,30,70,0,2,
29-12-2024,29.7,73,0,1,
30-12-2024,28.4,76,1,2,
31-12-2024,28.4,76,1.6,2,
01-01-2025,29.1,75,0,2,
02-01-2025,29.2,75,0,1,
03-01-2025,28.5,76,0,2,
04-01-2025,30.1,65,0,1,
05-01-2025,28.7,78,0,1,
06-01-2025,28.6,77,18.4,1,
07-01-2025,29.3,75,0,2,
08-01-2025,28.1,83,9,1,
09-01-2025,26.5,88,71,1,
10-01-2025,28.6,78,6.5,1,
11-01-2025,27.9,83,23.2,1,
12-01-2025,28.9,73,2,1,
13-01-2025,28.5,79,0,2,
14-01-2025,26.9,88,29.2,1,
15-01-2025,28.3,79,18,2,
16-01-2025,29.1,75,0,2,
17-01-2025,28.8,79,0,1,
18-01-2025,27,86,38.5,1,
19-01-2025,29.3,75,6.4,2,
20-01-2025,25.7,92,29.2,1,
21-01-2025,26.8,87,60,1,
22-01-2025,27.4,82,22.1,1,
23-01-2025,28.2,78,0,1,
24-01-2025,28.1,81,0,1,
25-01-2025,27.3,83,2,1,
26-01-2025,28.4,80,0,1,
27-01-2025,28,77,0.5,1,
28-01-2025,27.2,86,0,1,
29-01-2025,26.9,85,184.8,2,
30-01-2025,27.5,80,8.3,2,
31-01-2025,27.6,84,9.5,2,
01-02-2025,28.4,78,1,1,43.25
02-02-2025,28.5,82,1.3,2,
03-02-2025,28.8,79,0,1,
04-02-2025,28.2,83,0,1,
05-02-2025,28.1,78,1,2,
06-02-2025,28.5,77,13.8,2,
07-02-2025,28.1,82,8.4,1,15.79
08-02-2025,26.9,84,75.3,1,14.36
09-02-2025,28.2,79,0.3,1,15.35
10-02-2025,27.9,80,1.7,1,14.1
11-02-2025,28.2,82,1.1,1,16.88
12-02-2025,28.7,81,0.8,1,33.06
13-02-2025,30.4,70,0,1,31.29
14-02-2025,29.2,76,0,2,
15-02-2025,28.6,79,8888,1,
16-02-2025,28.8,78,1.6,1,
17-02-2025,26.6,89,0.6,1,
18-02-2025,27,86,27.9,1,
19-02-2025,27.4,85,5,1,
20-02-2025,27.2,83,18.6,1,
21-02-2025,28.5,79,0,2,24.27
22-02-2025,27.6,85,2,1,
23-02-2025,27.1,85,5.5,1,
24-02-2025,27.3,87,87.7,1,
